Student_ID,Study_Method,Homework_Time_Minutes
1,Traditional,82
2,Traditional,75
3,Traditional,91
4,Traditional,78
5,Traditional,85
6,Traditional,88
7,Traditional,73
8,Traditional,95
9,Traditional,80
10,Traditional,77
11,Traditional,84
12,Traditional,89
13,Traditional,71
14,Traditional,83
15,Traditional,92
16,Traditional,76
17,Traditional,87
18,Traditional,81
19,Traditional,79
20,Traditional,94
21,Traditional,86
22,Traditional,74
23,Traditional,90
24,Traditional,82
25,Traditional,88
26,Study_App,69
27,Study_App,64
28,Study_App,72
29,Study_App,61
30,Study_App,67
31,Study_App,70
32,Study_App,63
33,Study_App,75
34,Study_App,66
35,Study_App,68
36,Study_App,71
37,Study_App,62
38,Study_App,65
39,Study_App,73
40,Study_App,60
41,Study_App,69
42,Study_App,64
43,Study_App,76
44,Study_App,67
45,Study_App,70
46,Study_App,63
47,Study_App,68
48,Study_App,72
49,Study_App,65
50,Study_App,71
